DIP-74E DIP-19N 
DIP-198228E DIP-237N DIP-778N 
DIP-198229E DIP-228N DIP-778N 
DIP-198230E DIP-48906N DIP-778N 
DIP-198201E DIP-22529N DIP-20144N 
DIP-198202E DIP-35346N DIP-20144N 
DIP-198203E DIP-23545N DIP-20144N 
DIP-198204E DIP-20144N DIP-35347N 
DIP-198205E DIP-20144N DIP-59081N 
DIP-198206E DIP-20144N DIP-17615N 
DIP-198207E DIP-20144N DIP-21825N 
DIP-198208E DIP-61215N DIP-20144N 
DIP-198209E DIP-59082N DIP-20144N 
DIP-198210E DIP-22529N DIP-61215N 
DIP-198211E DIP-61215N DIP-23633N 
DIP-198212E DIP-35346N DIP-61215N 
DIP-198213E DIP-23545N DIP-61215N 
DIP-198214E DIP-35347N DIP-61215N 
DIP-198215E DIP-61215N DIP-59081N 
DIP-198789E DIP-23970N DIP-61415N 
DIP-198790E DIP-21869N DIP-61415N 
DIP-198792E DIP-59201N DIP-61417N 
DIP-198820E DIP-61426N DIP-21822N 
DIP-198821E DIP-18319N DIP-21822N 
DIP-198822E DIP-21822N DIP-61427N 
DIP-198823E DIP-61427N DIP-61426N 
DIP-199045E DIP-49258N DIP-61503N 
DIP-199046E DIP-61503N 
DIP-199051E DIP-61510N 
DIP-199243E DIP-61584N DIP-17992N 
DIP-199244E DIP-19737N DIP-61584N 
DIP-199245E DIP-61585N DIP-61584N 
DIP-199309E DIP-18088N DIP-61619N 
DIP-199481E DIP-59662N DIP-23209N 
DIP-199482E DIP-59662N DIP-61503N 
DIP-199483E DIP-59662N DIP-49218N 
DIP-199484E DIP-59662N DIP-49320N 
DIP-199485E DIP-49258N DIP-59662N 
DIP-199486E DIP-49218N DIP-23209N 
DIP-199487E DIP-49218N DIP-61503N 
DIP-199488E DIP-49320N DIP-49218N 
DIP-199489E DIP-49218N DIP-49258N 
DIP-199543E DIP-61595N DIP-17366N 
DIP-199544E DIP-61595N DIP-19158N 
DIP-199892E DIP-41329N DIP-121N 
DIP-200603E DIP-22131N DIP-61848N 
DIP-200666E DIP-61872N DIP-61873N 
