DIP-8180N YBR244W 
DIP-817N YIL159W 
DIP-816N YIR009W 
DIP-8168N YNL129W 
DIP-8165N YJL093C 
DIP-8164N YHR002W 
DIP-8163N YIL140W 
DIP-815N YJL030W 
DIP-8156N YGL235W 
DIP-8150N YBR219C 
DIP-814N YBR097W 
DIP-8148N YGR197C 
DIP-8146N YIL120W 
DIP-8142N YAL048C 
DIP-8141N YBR132C 
DIP-813N YNL259C 
DIP-8136N YKL207W 
DIP-8133N Q0275 
DIP-812N YML046W 
DIP-8128N YBR159W 
DIP-8124N YGR038W 
DIP-8123N YEL027W 
DIP-8121N YJL214W 
DIP-811N YML102W 
DIP-8115N YNL318C 
DIP-8110N YGR284C 
DIP-810N YML104C 
DIP-8105N YDR126W 
DIP-809N YDL226C 
DIP-8099N YIL166C 
DIP-8095N YBR036C 
DIP-8093N YJL088W 
DIP-808N YHR023W 
DIP-8081N YKL006W 
DIP-8080N YKL064W 
DIP-807N YHR034C 
DIP-8073N YLR330W 
DIP-806N YHR035W 
DIP-8068N YCL073C 
DIP-8064N YKL217W 
DIP-805N YHR099W 
DIP-8055N YDR093W 
DIP-8053N YKL185W 
DIP-8051N YJR135W-A 
DIP-804N YHR197W 
DIP-8048N YKL049C 
DIP-8047N YPL116W 
DIP-8040N YDR406W 
DIP-803N YDR277C 
DIP-8037N YGR157W 
DIP-8030N YGL038C 
DIP-802N YER017C 
DIP-8029N YGR028W 
DIP-8024N YPL167C 
DIP-8021N YOL075C 
DIP-801N YBR275C 
DIP-8019N YJR095W 
DIP-8010N YKR039W 
DIP-800N YBR143C 
DIP-8009N YNL146W 
DIP-8008N YOR211C 
DIP-8004N YGR260W 
DIP-8001N YNL275W 
DIP-8000N YJL163C 
DIP-7N YDR216W 
DIP-799N YBR136W 
DIP-7996N YKL065C 
DIP-798N YBR113W 
DIP-7986N YMR289W 
DIP-7982N YMR031C 
DIP-797N YBR043C 
DIP-7974N YPR068C 
DIP-7973N YJL148W 
DIP-7971N YMR219W 
DIP-7970N YCL064C 
DIP-796N YBL084C 
DIP-7965N YGL077C 
DIP-7960N YHR157W 
DIP-795N YBL067C 
DIP-7951N YIL171W 
DIP-794N YBL026W 
DIP-7949N YER166W 
DIP-7948N YJR046W 
DIP-7947N YPL173W 
DIP-7940N YMR026C 
DIP-793N YBL005W 
DIP-7935N YGL211W 
DIP-7934N YOR071C 
DIP-7932N YGL219C 
DIP-792N YBR073W 
DIP-7926N YOR192C 
DIP-7920N YGL231C 
